ID,Label,Name,Category,Type,Text,Front Image,Back Image,Use Count
Constraints_Unstable_Connectivity,Unstable_Connectivity,Unstable_Connectivity,Constraints,,,\VisitorBox Cards\cards-21_04_2020_201.png,\VisitorBox Cards\constraints_back.png,0
Experience_Distraction,Distraction,Distraction,Experience,,,\VisitorBox Cards\cards-21_04_2020_203.png,\VisitorBox Cards\experience_back.png,0
Experience_Human_Resource,Human_Resource,Human_Resource,Experience,,,\VisitorBox Cards\cards-21_04_2020_205.png,\VisitorBox Cards\experience_back.png,0
Experience_Weather,Weather,Weather,Experience,,,\VisitorBox Cards\cards-21_04_2020_207.png,\VisitorBox Cards\experience_back.png,0
Experience_Abuse,Abuse,Abuse,Experience,,,\VisitorBox Cards\cards-21_04_2020_209.png,\VisitorBox Cards\experience_back.png,0
Experience_Consent,Consent,Consent,Experience,,,\VisitorBox Cards\cards-21_04_2020_211.png,\VisitorBox Cards\experience_back.png,0
Experience_Minors,Minors,Minors,Experience,,,\VisitorBox Cards\cards-21_04_2020_213.png,\VisitorBox Cards\experience_back.png,0
Experience_Uncomfortable_Interactions,Uncomfortable_Interactions,Uncomfortable_Interactions,Experience,,,\VisitorBox Cards\cards-21_04_2020_215.png,\VisitorBox Cards\experience_back.png,0
Experience_Battery_Life,Battery_Life,Battery_Life,Experience,,,\VisitorBox Cards\cards-21_04_2020_217.png,\VisitorBox Cards\experience_back.png,0
Experience_Complex,Complex,Complex,Experience,,,\VisitorBox Cards\cards-21_04_2020_219.png,\VisitorBox Cards\experience_back.png,0
Experience_Data_Bloat,Data_Bloat,Data_Bloat,Experience,,,\VisitorBox Cards\cards-21_04_2020_221.png,\VisitorBox Cards\experience_back.png,0
Experience_Focus_Of_Attention,Focus_Of_Attention,Focus_Of_Attention,Experience,,,\VisitorBox Cards\cards-21_04_2020_223.png,\VisitorBox Cards\experience_back.png,0
Experience_Hands_Full,Hands_Full,Hands_Full,Experience,,,\VisitorBox Cards\cards-21_04_2020_225.png,\VisitorBox Cards\experience_back.png,0
Experience_At_A_Glance,At_A_Glance,At_A_Glance,Experience,,,\VisitorBox Cards\cards-21_04_2020_227.png,\VisitorBox Cards\experience_back.png,0
Experience_Configuration,Configuration,Configuration,Experience,,,\VisitorBox Cards\cards-21_04_2020_229.png,\VisitorBox Cards\experience_back.png,0
Experience_Critical_Mass,Critical_Mass,Critical_Mass,Experience,,,\VisitorBox Cards\cards-21_04_2020_231.png,\VisitorBox Cards\experience_back.png,0
Experience_Exhaustion,Exhaustion,Exhaustion,Experience,,,\VisitorBox Cards\cards-21_04_2020_233.png,\VisitorBox Cards\experience_back.png,0
Experience_Investment,Investment,Investment,Experience,,,\VisitorBox Cards\cards-21_04_2020_235.png,\VisitorBox Cards\experience_back.png,0
Experience_Narrative,Narrative,Narrative,Experience,,,\VisitorBox Cards\cards-21_04_2020_237.png,\VisitorBox Cards\experience_back.png,0
Experience_Pace,Pace,Pace,Experience,,,\VisitorBox Cards\cards-21_04_2020_239.png,\VisitorBox Cards\experience_back.png,0
Experience_Rules,Rules,Rules,Experience,,,\VisitorBox Cards\cards-21_04_2020_241.png,\VisitorBox Cards\experience_back.png,0
Experience_Bigger_Picture,Bigger_Picture,Bigger_Picture,Experience,,,\VisitorBox Cards\cards-21_04_2020_243.png,\VisitorBox Cards\experience_back.png,0
Experience_Buzz,Buzz,Buzz,Experience,,,\VisitorBox Cards\cards-21_04_2020_245.png,\VisitorBox Cards\experience_back.png,0
Experience_Engagement,Engagement,Engagement,Experience,,,\VisitorBox Cards\cards-21_04_2020_247.png,\VisitorBox Cards\experience_back.png,0
Experience_Provocation,Provocation,Provocation,Experience,,,\VisitorBox Cards\cards-21_04_2020_249.png,\VisitorBox Cards\experience_back.png,0
Building_Blocks_Anywhere,Blocks_Anywhere,Blocks_Anywhere,Building_Blocks,,,\VisitorBox Cards\cards-21_04_2020_251.png,\VisitorBox Cards\building_blocks_back.png,0
Building_Blocks_Fitting_Locations,Blocks_Fitting_Locations,Blocks_Fitting_Locations,Building_Blocks,,,\VisitorBox Cards\cards-21_04_2020_253.png,\VisitorBox Cards\building_blocks_back.png,0
Building_Blocks_Hidden_Locations,Blocks_Hidden_Locations,Blocks_Hidden_Locations,Building_Blocks,,,\VisitorBox Cards\cards-21_04_2020_255.png,\VisitorBox Cards\building_blocks_back.png,0
Building_Blocks_Hopping,Blocks_Hopping,Blocks_Hopping,Building_Blocks,,,\VisitorBox Cards\cards-21_04_2020_257.png,\VisitorBox Cards\building_blocks_back.png,0
Building_Blocks_Offline,Blocks_Offline,Blocks_Offline,Building_Blocks,,,\VisitorBox Cards\cards-21_04_2020_259.png,\VisitorBox Cards\building_blocks_back.png,0
Building_Blocks_Online,Blocks_Online,Blocks_Online,Building_Blocks,,,\VisitorBox Cards\cards-21_04_2020_261.png,\VisitorBox Cards\building_blocks_back.png,0
Building_Blocks_Outdoors,Blocks_Outdoors,Blocks_Outdoors,Building_Blocks,,,\VisitorBox Cards\cards-21_04_2020_263.png,\VisitorBox Cards\building_blocks_back.png,0
Building_Blocks_Subverted_Locations,Blocks_Subverted_Locations,Blocks_Subverted_Locations,Building_Blocks,,,\VisitorBox Cards\cards-21_04_2020_265.png,\VisitorBox Cards\building_blocks_back.png,0
Building_Blocks_Transport,Blocks_Transport,Blocks_Transport,Building_Blocks,,,\VisitorBox Cards\cards-21_04_2020_267.png,\VisitorBox Cards\building_blocks_back.png,0
Building_Blocks_Adoption,Blocks_Adoption,Blocks_Adoption,Building_Blocks,,,\VisitorBox Cards\cards-21_04_2020_269.png,\VisitorBox Cards\building_blocks_back.png,0
Building_Blocks_Appointment,Blocks_Appointment,Blocks_Appointment,Building_Blocks,,,\VisitorBox Cards\cards-21_04_2020_271.png,\VisitorBox Cards\building_blocks_back.png,0
Building_Blocks_Beginning_And_End,Blocks_Beginning_And_End,Blocks_Beginning_And_End,Building_Blocks,,,\VisitorBox Cards\cards-21_04_2020_273.png,\VisitorBox Cards\building_blocks_back.png,0
